Satzart;AGS;KREIS;BEV;CHRIST;RKAT;EVANG;SONST;KEINE;OANGABE;;PRKAT;PEVANG;;RKATEVANG
40;9574;Nürnberger Land;162.790;129.910;45.670;79.130;7.400;7.500;17.980;;28,1;48,6;;76,7
40;9575;Neustadt a.d.Aisch-Bad Windsheim;96.960;85.820;19.500;63.930;1.800;2.820;6.520;;20,1;65,9;;86,0
40;9576;Roth;122.220;104.700;52.320;49.230;2.780;4.400;10.340;;42,8;40,3;;83,1
40;9577;Weißenburg-Gunzenhausen;90.900;80.930;27.450;51.270;3.030;2.620;4.320;;30,2;56,4;;86,6
20;96;Gesamt;1.290.990;1.108.350;815.450;256.050;41.960;44.140;96.550;;;;;
40;9661;Aschaffenburg, Stadt;66.760;50.340;35.180;11.340;4.920;4.140;7.370;;52,7;17,0;;69,7
40;9662;Schweinfurt, Stadt;51.350;38.590;20.640;15.360;4.910;2.270;5.580;;40,2;29,9;;70,1
40;9663;Würzburg, Stadt;122.540;98.410;65.540;27.140;5.910;6.250;11.960;;53,5;22,1;;75,6
40;9671;Aschaffenburg;172.550;141.220;114.500;21.120;7.330;7.130;16.870;;66,4;12,2;;78,6
40;9672;Bad Kissingen;102.500;93.300;72.710;18.760;1.010;1.840;6.340;;70,9;18,3;;89,2
40;9673;Rhön-Grabfeld;80.010;73.440;53.360;18.420;690;1.980;3.900;;66,7;23,0;;89,7
40;9674;Haßberge;84.170;78.040;54.700;21.820;650;1.880;3.600;;65,0;25,9;;90,9
40;9675;Kitzingen;86.790;78.340;42.560;33.720;1.810;2.580;4.060;;49,0;38,9;;87,9
40;9676;Miltenberg;128.000;106.040;86.740;15.800;7.570;4.350;10.040;;67,8;12,3;;80,1
40;9677;Main-Spessart;126.580;111.090;89.390;19.610;3.320;3.650;8.530;;70,6;15,5;;86,1
40;9678;Schweinfurt;112.170;101.170;77.350;21.340;1.430;2.830;6.740;;69,0;19,0;;88,0
40;9679;Würzburg;157.580;138.360;102.760;31.620;2.420;5.220;11.570;;65,2;20,1;;85,3
20;97;Gesamt;1.765.540;1.434.330;1.075.640;291.000;99.310;70.190;161.700;;;;;
40;9761;Augsburg, Stadt;265.010;191.210;124.170;47.760;27.530;13.770;32.500;;46,9;18,0;;64,9
40;9762;Kaufbeuren, Stadt;40.890;31.600;20.600;8.980;3.080;2.380;3.840;;50,4;22,0;;72,3
40;9763;Kempten (Allgäu), Stadt;63.220;46.660;33.070;11.060;5.090;3.500;7.970;;52,3;17,5;;69,8
40;9764;Memmingen, Stadt;40.900;30.720;17.150;10.800;3.630;1.430;5.120;;41,9;26,4;;68,3
40;9771;Aichach-Friedberg;125.510;106.680;89.170;13.800;3.550;4.620;10.660;;71,0;11,0;;82,0
40;9772;Augsburg;236.480;194.060;151.660;34.910;10.220;9.790;22.410;;64,1;14,8;;78,9
40;9773;Dillingen a.d.Donau;92.350;81.940;68.070;12.250;2.760;2.210;5.440;;73,7;13,3;;87,0
40;9774;Günzburg;118.210;98.330;80.760;14.910;7.990;3.720;8.170;;68,3;12,6;;80,9
