Satzart;AGS;KREIS;BEV;CHRIST;RKAT;EVANG;SONST;KEINE;OANGABE;;PRKAT;PEVANG;;RKATEVANG
40;1057;Plön;127.150;91.620;6.350;79.600;1.980;7.480;26.060;;5,0;62,6;;67,6
40;1058;Rendsburg-Eckernförde;267.890;190.420;14.230;163.010;6.150;20.860;50.460;;5,3;60,8;;66,2
40;1059;Schleswig-Flensburg;194.220;151.740;8.550;135.530;3.630;11.750;27.100;;4,4;69,8;;74,2
40;1060;Segeberg;258.430;158.740;16.110;125.660;8.800;28.130;62.760;;6,2;48,6;;54,9
40;1061;Steinburg;130.000;90.630;5.480;79.530;3.150;12.590;23.620;;4,2;61,2;;65,4
40;1062;Stormarn;228.890;137.950;16.770;106.470;6.530;27.900;56.510;;7,3;46,5;;53,8
10;2;Gesamt;1.693.120;879.390;184.300;574.840;138.400;210.390;464.950;;;;;
40;2000;Hamburg, Freie und Hansestadt;1.693.120;879.390;184.300;574.840;138.400;210.390;464.950;;10,9;34,0;;44,8
10;3;;7.723.680;5.798.590;1.415.280;3.980.940;319.840;510.890;1.094.360;;;;;
20;31;Gesamt;1.565.800;1.138.870;231.240;820.560;72.870;116.540;237.520;;;;;
40;3101;Braunschweig, Stadt;240.350;153.850;33.760;105.560;16.020;20.790;49.690;;14,0;43,9;;58,0
40;3102;Salzgitter, Stadt;98.470;68.210;19.000;43.220;10.500;8.120;11.630;;19,3;43,9;;63,2
40;3103;Wolfsburg, Stadt;119.220;84.440;23.770;51.700;5.470;9.450;19.860;;19,9;43,4;;63,3
40;3151;Gifhorn;169.860;126.390;16.110;96.670;6.230;12.480;24.760;;9,5;56,9;;66,4
40;3152;Göttingen;246.160;185.520;58.810;115.220;10.070;17.860;32.710;;23,9;46,8;;70,7
40;3153;Goslar;139.160;103.590;15.620;80.560;4.640;11.520;19.400;;11,2;57,9;;69,1
40;3154;Helmstedt;90.920;66.680;9.880;52.270;2.300;7.200;14.740;;10,9;57,5;;68,4
40;3155;Northeim;136.790;112.080;16.150;90.350;4.410;5.670;14.620;;11,8;66,1;;77,9
40;3156;Osterode am Harz;76.160;58.850;7.580;48.130;2.970;4.950;9.390;;10,0;63,2;;73,1
40;3157;Peine;129.670;94.420;15.580;73.080;6.740;8.540;19.960;;12,0;56,4;;68,4
40;3158;Wolfenbüttel;119.040;84.820;14.980;63.780;3.520;9.960;20.740;;12,6;53,6;;66,2
20;32;Gesamt;2.079.440;1.473.610;294.640;1.063.180;113.130;151.740;340.950;;;;;
40;3241;Region Hannover;1.094.760;708.260;150.380;485.750;73.600;95.070;217.830;;13,7;44,4;;58,1
40;3251;Diepholz;210.440;161.330;23.900;128.540;5.400;12.970;30.740;;11,4;61,1;;72,4
40;3252;Hameln-Pyrmont;148.510;112.230;18.360;86.920;6.810;9.740;19.730;;12,4;58,5;;70,9
40;3254;Hildesheim;274.830;215.250;67.230;136.010;12.900;14.490;32.190;;24,5;49,5;;74,0
40;3255;Holzminden;73.120;59.060;8.880;46.550;3.580;3.620;6.860;;12,1;63,7;;75,8
40;3256;Nienburg (Weser);121.580;97.140;9.390;83.130;4.120;5.960;14.350;;7,7;68,4;;76,1
40;3257;Schaumburg;156.200;120.340;16.490;96.290;6.730;9.880;19.250;;10,6;61,6;;72,2
20;33;Gesamt;1.656.020;1.199.850;119.730;989.470;50.900;130.620;274.650;;;;;
40;3351;Celle;174.550;132.050;15.870;104.320;5.960;12.080;24.460;;9,1;59,8;;68,9
40;3352;Cuxhaven;198.100;154.660;14.700;130.870;5.090;12.170;26.180;;7,4;66,1;;73,5
40;3353;Harburg;237.910;149.180;17.060;115.100;7.210;26.080;55.440;;7,2;48,4;;55,6
40;3354;Lüchow-Dannenberg;48.720;36.840;2.990;32.330;1.030;2.520;8.340;;6,1;66,4;;72,5
40;3355;Lüneburg;171.820;112.520;13.520;89.450;6.020;15.680;37.590;;7,9;52,1;;59,9
40;3356;Osterholz;110.020;78.950;8.150;65.180;3.540;8.650;18.890;;7,4;59,2;;66,7
40;3357;Rotenburg (Wümme);161.220;127.440;9.440;111.020;3.510;10.140;20.120;;5,9;68,9;;74,7
40;3358;Soltau-Fallingbostel;135.300;104.410;10.290;87.390;3.660;10.220;17.020;;7,6;64,6;;72,2
40;3359;Stade;194.540;136.060;12.720;113.420;6.650;17.110;34.720;;6,5;58,3;;64,8
40;3360;Uelzen;92.730;73.140;6.230;63.300;2.230;5.040;12.320;;6,7;68,3;;75,0
40;3361;Verden;131.090;94.600;8.750;77.090;6.000;10.930;19.550;;6,7;58,8;;65,5
20;34;Gesamt;2.422.420;1.986.260;769.670;1.107.740;82.940;111.980;241.240;;;;;
40;3401;Delmenhorst, Stadt;72.900;47.810;11.600;30.450;5.090;6.950;13.040;;15,9;41,8;;57,7
40;3402;Emden, Stadt;49.360;38.710;4.380;32.650;1.800;3.450;5.400;;8,9;66,1;;75,0
